term,coefficient
Intercept,-70686.70659897996
tempmax,481.6073880848352
windspeed,-132.12062819804007
solarradiation,39.807620100472306
sealevelpressure,87.26461316197087
visibility,160.95767189589776
precip,-140.4617787188954
day_Mon,0.0
day_Tue,2320.2865093740897
day_Wed,2517.3323988183856
day_Thu,2451.332920198036
day_Fri,798.5741555048239
day_Sat,419.5825400695076
day_Sun,-1943.4813115330303
visibility:season_Autumn,0.0
season_Autumn,0.0
visibility:season_Winter,-40.33844569234506
season_Winter,-3004.000233246257
visibility:season_Spring,-72.60800415260553
season_Spring,-2587.533347378914
visibility:season_Summer,52.164744669667215
season_Summer,-4084.2540321506735
weekend_True,-1523.8987714628097
precip:weekend_True,-153.0695260329949
